Component,Price (AED),Buy From
Battery Level Indicator,53,Besomi
Temperature Sensor (DHT11),Already Have,N/A
Accelerometer,Already Have,N/A
GPS Module ,29,Amazon
LoRa Module (Transceiver),100,Amazon
Power Supply,36.69,Amazon
Buck Converter (5V),Already Have,N/A
Raspberry Pi Zero 2W,95,Besomi
Arduino Nano,Already Have,N/A
Charger for Battery,35,Amazon
SD Card (64GB),23,Amazon
Power adapter for Pi,Already Have,
SD Card Adapter,Already Have,
OLED Display 2.8 inches,Already Have,
,371.69,
